"p1","score1","p2","score2","completed","tournament","first_to"
"Inu",2,"Magician",0,1563030087,"Fight in Rio for the Future",2
"Vyse",0,"FireEmblem",2,1563030339,"Fight in Rio for the Future",2
"LukeThomaz",0,"Alunir",2,1563030635,"Fight in Rio for the Future",2
"Ozzy",2,"Leow",0,1563030666,"Fight in Rio for the Future",2
"Ihmo",0,"Mimok",2,1563030932,"Fight in Rio for the Future",2
"mysterE",2,"Tuca",0,1563031008,"Fight in Rio for the Future",2
"FR7",2,"Strig",0,1563031166,"Fight in Rio for the Future",2
"Floko",2,"Elias",0,1563031221,"Fight in Rio for the Future",2
"BeBop",2,"Nyer",1,1563031355,"Fight in Rio for the Future",2
"Lucky Luciano",1,"Guizo",2,1563031666,"Fight in Rio for the Future",2
"Joaoarara",2,"Stiltzkin",0,1563031774,"Fight in Rio for the Future",2
"Nenfz",2,"Ferrantini",1,1563031798,"Fight in Rio for the Future",2
"Chaud",2,"Jayache",0,1563031913,"Fight in Rio for the Future",2
"Gim",2,"Miguelindo",0,1563032027,"Fight in Rio for the Future",2
"Maleson",1,"Proliel",2,1563032222,"Fight in Rio for the Future",2
"S/Chance",1,"FireEmblem",2,1563032249,"Fight in Rio for the Future",2
"Player 7",2,"Chino",0,1563032339,"Fight in Rio for the Future",2
"Swiss",0,"Vyse",2,1563032566,"Fight in Rio for the Future",2
"Janjão",2,"Naty",0,1563032656,"Fight in Rio for the Future",2
"Elias",2,"diguetake",0,1563032757,"Fight in Rio for the Future",2
"Roboto",2,"Alunir",0,1563032853,"Fight in Rio for the Future",2
"Amortax",2,"Mimok",0,1563032867,"Fight in Rio for the Future",2
"Lucas Portes",2,"Magician",0,1563033099,"Fight in Rio for the Future",2
"Considera",1,"Ihmo",2,1563033160,"Fight in Rio for the Future",2
"Ultimate",2,"Mick",0,1563033189,"Fight in Rio for the Future",2
"Snek",2,"Bayo",0,1563033596,"Fight in Rio for the Future",2
"Sabino",2,"Anubis570",0,1563033894,"Fight in Rio for the Future",2
"Rhunii",2,"LukeThomaz",0,1563033922,"Fight in Rio for the Future",2
"Floko",2,"Sully",0,1563034038,"Fight in Rio for the Future",2
"Alunir",0,"Ace",2,1563034253,"Fight in Rio for the Future",2
"Tuca",2,"Guizo",0,1563034312,"Fight in Rio for the Future",2
"Bayo",0,"Afro",2,1563034321,"Fight in Rio for the Future",2
"Sky",2,"Inu",1,1563034348,"Fight in Rio for the Future",2
"Jaycee",2,"RitsuoFox",0,1563034528,"Fight in Rio for the Future",2
